fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
HSBC Mutual Fund,Telecom/Media,1.29,1.1,2026-04-01,2026-05-01
ICICI Prud'l MF,Aerospace & Defence,0.85,0.85,2026-04-01,2026-05-01
ICICI Prud'l MF,Auto & Auto Ancillaries,11.21,11.4,2026-04-01,2026-05-01
ICICI Prud'l MF,Banks,18.22,19.0,2026-04-01,2026-05-01
ICICI Prud'l MF,Building materials,3.7,3.81,2026-04-01,2026-05-01
ICICI Prud'l MF,Chemicals,2.28,2.26,2026-04-01,2026-05-01
ICICI Prud'l MF,Co-Working,0.03,0.04,2026-04-01,2026-05-01
ICICI Prud'l MF,Consumer Durables,0.8,0.77,2026-04-01,2026-05-01
ICICI Prud'l MF,Consumer Goods,8.49,8.65,2026-04-01,2026-05-01
ICICI Prud'l MF,Engineering & Capital Goods,2.68,2.71,2026-04-01,2026-05-01
ICICI Prud'l MF,Financial Services,0.63,0.64,2026-04-01,2026-05-01
ICICI Prud'l MF,Financial services/Insurance,8.53,8.7,2026-04-01,2026-05-01
ICICI Prud'l MF,Infra/Real estate,8.26,8.09,2026-04-01,2026-05-01
ICICI Prud'l MF,IT,10.47,10.06,2026-04-01,2026-05-01
ICICI Prud'l MF,IT - Hardware,0.14,0.16,2026-04-01,2026-05-01
ICICI Prud'l MF,Metals & Mining,1.78,1.83,2026-04-01,2026-05-01
ICICI Prud'l MF,Miscellaneous,1.23,1.23,2026-04-01,2026-05-01
ICICI Prud'l MF,Oil/Energy,6.18,5.88,2026-04-01,2026-05-01
ICICI Prud'l MF,Pharma/healthcare,6.88,6.68,2026-04-01,2026-05-01
ICICI Prud'l MF,Plywood Boards/Laminates,0.03,0.03,2026-04-01,2026-05-01
ICICI Prud'l MF,Power,3.49,3.18,2026-04-01,2026-05-01
ICICI Prud'l MF,Quick Service Restaurant,0.36,0.33,2026-04-01,2026-05-01
ICICI Prud'l MF,Real Estate Investment Trusts,0.99,0.98,2026-04-01,2026-05-01
ICICI Prud'l MF,Telecom/Media,2.75,2.71,2026-04-01,2026-05-01
Invesco MF,Aerospace & Defence,2.28,2.12,2026-04-01,2026-05-01
Invesco MF,Auto & Auto Ancillaries,6.51,6.15,2026-04-01,2026-05-01
